X3_2046_B	X7_2472_B	X9_2492_B	X11_2653_B	X15_2677_B	X17_2691_B	X23_2817_B	X25_2852_B
ENSG00000090621	2383	3749	2288	1668	2026	2765	3327	1570
ENSG00000090686	1051	1257	1439	663	764	721	1821	779
ENSG00000091483	1659	2220	618	1290	1366	583	1243	693
ENSG00000092607	37	25	58	96	167	103	155	82
ENSG00000092621	1480	1878	975	339	241	60	107	223
ENSG00000092847	480	811	1163	632	812	885	2207	915
ENSG00000092850	1	0	3	12	2	13	18	4
ENSG00000092853	107	500	237	20	76	76	400	217
ENSG00000092969	77	629	284	119	236	223	132	96
ENSG00000092978	407	898	358	1023	2475	253	735	281
ENSG00000094963	109	832	2340	285	528	116	47	87
ENSG00000094975	711	1504	1053	1446	2140	654	1567	991
ENSG00000097021	343	1197	372	236	207	241	471	854
ENSG00000097033	914	2064	1604	1379	1794	1464	2700	1733
ENSG00000097046	214	450	185	27	211	105	297	103
ENSG00000097096	28	75	51	210	141	268	620	159
ENSG00000099260	107	448	210	318	710	183	233	214
ENSG00000107404	1049	1501	1256	820	611	662	2121	1369
ENSG00000116128	732	895	327	793	1779	466	1805	324
ENSG00000116132	3599	773	3211	1277	2883	1958	2212	1121
ENSG00000116133	1085	5091	4667	6737	5969	2092	27351	9454
ENSG00000116138	483	571	368	474	554	436	1533	588
ENSG00000116141	48	64	108	37	78	106	58	42
ENSG00000116147	1	0	0	11	67	6	5	9
ENSG00000116151	79	136	92	128	140	60	259	253
ENSG00000116157	248	105	261	163	205	172	173	137
ENSG00000116161	1102	4753	1236	681	1227	798	1317	879
ENSG00000116171	574	1436	822	2043	1602	1643	4276	2296
ENSG00000116183	2	1	5	39	65	10	1	13
ENSG00000116191	191	398	308	1270	1396	413	1153	413
ENSG00000116194	8	19	5	64	50	19	200	24
ENSG00000116198	629	715	670	626	530	501	1493	768
ENSG00000116199	972	1788	1099	2338	2557	899	1933	1347
ENSG00000116205	85	145	95	91	191	138	352	177
ENSG00000116209	1596	2188	2849	3049	2507	2338	6239	3658
ENSG00000116212	261	661	336	350	370	273	941	309
ENSG00000116213	333	568	373	156	303	238	651	342
ENSG00000116218	0	0	0	0	0	0	0	0
ENSG00000116221	662	1780	634	783	719	532	1505	996
